Session,Outcome,Type,Case,Study
7,6,BL,EvaMLU,MillerA
8,6,BL,EvaMLU,MillerA
9,6,BL,EvaMLU,MillerA
10,5,INT,EvaMLU,MillerA
11,5,INT,EvaMLU,MillerA
12,6,INT,EvaMLU,MillerA
13,6,INT,EvaMLU,MillerA
14,5,INT,EvaMLU,MillerA
15,6,INT,EvaMLU,MillerA
16,5,INT,EvaMLU,MillerA
17,6,INT,EvaMLU,MillerA
1,1,BL,DanielCausality,PetersenB
2,1,BL,DanielCausality,PetersenB
3,0,BL,DanielCausality,PetersenB
4,0,BL,DanielCausality,PetersenB
5,0,BL,DanielCausality,PetersenB
6,0,BL,DanielCausality,PetersenB
7,0,BL,DanielCausality,PetersenB
8,2,BL,DanielCausality,PetersenB
9,0,BL,DanielCausality,PetersenB
10,0,BL,DanielCausality,PetersenB
11,0,BL,DanielCausality,PetersenB
12,2,BL,DanielCausality,PetersenB
13,1,INT,DanielCausality,PetersenB
14,3,INT,DanielCausality,PetersenB
15,3,INT,DanielCausality,PetersenB
16,1,INT,DanielCausality,PetersenB
17,5,INT,DanielCausality,PetersenB
18,5,INT,DanielCausality,PetersenB
19,1,INT,DanielCausality,PetersenB
20,2,INT,DanielCausality,PetersenB
21,4,INT,DanielCausality,PetersenB
22,2,INT,DanielCausality,PetersenB
23,1,INT,DanielCausality,PetersenB
1,0,BL,DanielTASC,PetersenB
2,0,BL,DanielTASC,PetersenB
3,0,BL,DanielTASC,PetersenB
4,0,BL,DanielTASC,PetersenB
5,0,BL,DanielTASC,PetersenB
6,0,BL,DanielTASC,PetersenB
7,0,BL,DanielTASC,PetersenB
8,0,BL,DanielTASC,PetersenB
9,0,BL,DanielTASC,PetersenB
10,0,BL,DanielTASC,PetersenB
11,0,BL,DanielTASC,PetersenB
12,0,BL,DanielTASC,PetersenB
13,0,BL,DanielTASC,PetersenB
14,0,BL,DanielTASC,PetersenB
15,0,BL,DanielTASC,PetersenB
16,0,BL,DanielTASC,PetersenB
17,2,INT,DanielTASC,PetersenB
18,0,INT,DanielTASC,PetersenB
19,0,INT,DanielTASC,PetersenB
20,0,INT,DanielTASC,PetersenB
21,0,INT,DanielTASC,PetersenB
22,2,INT,DanielTASC,PetersenB
23,1,INT,DanielTASC,PetersenB
1,0,BL,DanielADV,PetersenB
2,0,BL,DanielADV,PetersenB
3,0,BL,DanielADV,PetersenB
4,0,BL,DanielADV,PetersenB
5,0,BL,DanielADV,PetersenB
6,0,BL,DanielADV,PetersenB
7,0,BL,DanielADV,PetersenB
8,0,BL,DanielADV,PetersenB
9,0,BL,DanielADV,PetersenB
10,0,BL,DanielADV,PetersenB
11,0,BL,DanielADV,PetersenB
12,0,BL,DanielADV,PetersenB
13,0,BL,DanielADV,PetersenB
14,1,BL,DanielADV,PetersenB
15,1,BL,DanielADV,PetersenB
16,1,BL,DanielADV,PetersenB
17,0,BL,DanielADV,PetersenB
18,1,BL,DanielADV,PetersenB
19,0,BL,DanielADV,PetersenB
20,0,BL,DanielADV,PetersenB
21,1,INT,DanielADV,PetersenB
